id|description|column
"582"|"MEXICO Air Sea, and Not Reported (I-94, no land arrivals)"|"i94cit_res"
"236"|"AFGHANISTAN"|"i94cit_res"
"101"|"ALBANIA"|"i94cit_res"
"316"|"ALGERIA"|"i94cit_res"
"102"|"ANDORRA"|"i94cit_res"
"324"|"ANGOLA"|"i94cit_res"
"529"|"ANGUILLA"|"i94cit_res"
"518"|"ANTIGUA-BARBUDA"|"i94cit_res"
"687"|"ARGENTINA"|"i94cit_res"
"151"|"ARMENIA"|"i94cit_res"
"532"|"ARUBA"|"i94cit_res"
"438"|"AUSTRALIA"|"i94cit_res"
"103"|"AUSTRIA"|"i94cit_res"
"152"|"AZERBAIJAN"|"i94cit_res"
"512"|"BAHAMAS"|"i94cit_res"
"298"|"BAHRAIN"|"i94cit_res"
"274"|"BANGLADESH"|"i94cit_res"
"513"|"BARBADOS"|"i94cit_res"
"104"|"BELGIUM"|"i94cit_res"
"581"|"BELIZE"|"i94cit_res"
"386"|"BENIN"|"i94cit_res"
"509"|"BERMUDA"|"i94cit_res"
"153"|"BELARUS"|"i94cit_res"
"242"|"BHUTAN"|"i94cit_res"
"688"|"BOLIVIA"|"i94cit_res"
"717"|"BONAIRE, ST EUSTATIUS, SABA"|"i94cit_res"
"164"|"BOSNIA-HERZEGOVINA"|"i94cit_res"
"336"|"BOTSWANA"|"i94cit_res"
"689"|"BRAZIL"|"i94cit_res"
"525"|"BRITISH VIRGIN ISLANDS"|"i94cit_res"
"217"|"BRUNEI"|"i94cit_res"
"105"|"BULGARIA"|"i94cit_res"
"393"|"BURKINA FASO"|"i94cit_res"
"243"|"BURMA"|"i94cit_res"
"375"|"BURUNDI"|"i94cit_res"
"310"|"CAMEROON"|"i94cit_res"
"326"|"CAPE VERDE"|"i94cit_res"
"526"|"CAYMAN ISLANDS"|"i94cit_res"
"383"|"CENTRAL AFRICAN REPUBLIC"|"i94cit_res"
"384"|"CHAD"|"i94cit_res"
"690"|"CHILE"|"i94cit_res"
"245"|"CHINA, PRC"|"i94cit_res"
"721"|"CURACAO"|"i94cit_res"
"270"|"CHRISTMAS ISLAND"|"i94cit_res"
"271"|"COCOS ISLANDS"|"i94cit_res"
"691"|"COLOMBIA"|"i94cit_res"
"317"|"COMOROS"|"i94cit_res"
"385"|"CONGO"|"i94cit_res"
"467"|"COOK ISLANDS"|"i94cit_res"
"575"|"COSTA RICA"|"i94cit_res"
"165"|"CROATIA"|"i94cit_res"
"584"|"CUBA"|"i94cit_res"
"218"|"CYPRUS"|"i94cit_res"
"140"|"CZECH REPUBLIC"|"i94cit_res"
"723"|"FAROE ISLANDS (PART OF DENMARK)"|"i94cit_res"
"108"|"DENMARK"|"i94cit_res"
"322"|"DJIBOUTI"|"i94cit_res"
"519"|"DOMINICA"|"i94cit_res"
"585"|"DOMINICAN REPUBLIC"|"i94cit_res"
"240"|"EAST TIMOR"|"i94cit_res"
"692"|"ECUADOR"|"i94cit_res"
"368"|"EGYPT"|"i94cit_res"
"576"|"EL SALVADOR"|"i94cit_res"
"399"|"EQUATORIAL GUINEA"|"i94cit_res"
"372"|"ERITREA"|"i94cit_res"
"109"|"ESTONIA"|"i94cit_res"
"369"|"ETHIOPIA"|"i94cit_res"
"604"|"FALKLAND ISLANDS"|"i94cit_res"
"413"|"FIJI"|"i94cit_res"
"110"|"FINLAND"|"i94cit_res"
"111"|"FRANCE"|"i94cit_res"
"601"|"FRENCH GUIANA"|"i94cit_res"
"411"|"FRENCH POLYNESIA"|"i94cit_res"
"387"|"GABON"|"i94cit_res"
"338"|"GAMBIA"|"i94cit_res"
"758"|"GAZA STRIP"|"i94cit_res"
"154"|"GEORGIA"|"i94cit_res"
"112"|"GERMANY"|"i94cit_res"
"339"|"GHANA"|"i94cit_res"
"143"|"GIBRALTAR"|"i94cit_res"
"113"|"GREECE"|"i94cit_res"
"520"|"GRENADA"|"i94cit_res"
"507"|"GUADELOUPE"|"i94cit_res"
"577"|"GUATEMALA"|"i94cit_res"
"382"|"GUINEA"|"i94cit_res"
"327"|"GUINEA-BISSAU"|"i94cit_res"
